target_rps,mean_latency_ms,p95_latency_ms,success_rate
1,2.61,3.94,100.0
2,2.65,4.85,100.0
5,2.81,6.15,100.0
10,4.61,7.68,100.0
15,3.79,6.72,100.0
20,5.03,7.05,100.0
30,4.94,6.88,100.0
40,5.21,7.0,100.0
50,4.79,7.24,100.0
