target_rps,mean_latency_ms,p95_latency_ms
1,4.73,6.15
2,3.43,5.98
5,4.21,6.27
10,6.07,8.96
15,5.01,6.91
20,5.4,7.16
30,4.11,6.65
40,5.17,7.2
50,4.73,7.14
