target_rps,mean_latency_ms,p95_latency_ms
1,6.75,21.98
2,5.8,20.03
5,4.75,7.14
10,5.07,6.9
15,5.42,8.53
20,4.37,6.74
30,5.07,7.08
40,4.82,6.93
50,5.08,7.05
