target_rps,mean_latency_ms,p95_latency_ms,success_rate
1,219.04,1019.85,100.0
2,7.15,35.15,100.0
5,4.95,8.01,100.0
10,5.48,6.92,100.0
15,5.24,6.89,100.0
20,5.26,7.03,100.0
30,4.82,7.01,100.0
40,5.18,7.26,100.0
50,4.29,7.04,100.0
